record_id,shift,machine_type,operator_level,zone,maintenance_status,ppe_compliance,temperature_c,distance_cm,vibration_mm_s,humidity_pct,pressure_bar,noise_db,runtime_min,operator_fatigue_score,near_miss_last_30d,inspection_delay_days,crew_size,risk_level
1,afternoon,cutter_D,junior,assembly,on_time,ok,32.59,96.54,3.97,68.01,7.94,74.08,150.0,6.7,2,8,2,safe
2,night,press_A,junior,loading,on_time,ok,39.9,86.45,8.0,53.49,6.18,78.42,31.9,8.3,2,4,2,safe
3,afternoon,press_A,mid,assembly,critical,partial,31.92,54.49,6.64,40.19,4.76,96.57,71.1,,1,1,3,unsafe
4,afternoon,press_B,junior,heat_area,on_time,ok,54.57,83.38,7.21,61.83,8.1,79.7,140.1,4.3,1,4,3,unsafe
5,morning,press_B,mid,assembly,delayed,ok,,96.31,3.29,54.77,8.04,89.65,154.7,1.5,0,3,1,safe
6,morning,cutter_D,mid,assembly,on_time,missing,26.07,61.48,6.02,,6.59,87.56,129.1,5.9,0,4,4,safe
7,morning,furnace_C,junior,maintenance,on_time,ok,71.06,,1.13,58.0,5.68,89.02,206.0,7.6,0,2,2,unsafe
8,night,press_B,junior,heat_area,critical,ok,48.03,153.2,7.21,57.49,8.55,55.8,101.6,10.1,1,5,2,safe
9,afternoon,press_A,senior,maintenance,on_time,ok,28.78,57.84,6.47,52.28,5.22,76.26,106.4,5.4,0,5,2,unsafe
10,afternoon,cutter_D,mid,maintenance,delayed,,41.98,86.61,18.511889658531093,64.48,5.49,94.76,207.1,3.2,0,9,3,unsafe
11,morning,press_B,mid,loading,on_time,partial,44.82,133.38,3.19,42.59,5.99,73.85,61.5,1.2,2,2,3,safe
12,night,press_B,junior,assembly,delayed,partial,23.04,213.52,8.36,56.71,7.41,96.86,188.5,8.9,1,6,2,unsafe
13,night,press_A,mid,heat_area,on_time,missing,57.98,36.44,5.27,30.06,5.09,94.36,255.3,2.4,2,4,3,unsafe
14,morning,cutter_D,junior,loading,on_time,ok,31.43,,4.42,57.7,5.61,78.78,165.5,4.6,1,4,2,safe
15,morning,furnace_C,mid,heat_area,delayed,ok,86.53,65.24,6.59,79.34,5.08,74.47,124.1,4.3,0,4,2,unsafe
16,morning,press_A,senior,assembly,critical,partial,105.13176359100412,61.14,13.6,,6.16,69.88,63.0,4.7,2,4,2,unsafe
17,morning,press_A,junior,loading,critical,ok,39.2,62.79,10.34,41.36,4.57,73.33,139.7,5.4,0,8,2,unsafe
18,afternoon,furnace_C,junior,maintenance,delayed,ok,47.06,50.6,9.06,42.06,6.11,67.91,86.6,5.6,3,4,3,unsafe
19,afternoon,furnace_C,junior,loading,delayed,ok,54.74,96.55,7.46,53.82,7.62,82.86,110.6,0.5,1,5,3,unsafe
20,morning,press_A,junior,assembly,on_time,ok,51.35,28.39,5.87,37.12,6.68,65.9,153.5,5.3,0,5,2,unsafe
21,afternoon,cutter_D,junior,loading,on_time,ok,43.69,131.14,0.23,57.9,8.5,88.43,80.3,0.6,1,2,2,safe
22,morning,press_A,junior,assembly,on_time,partial,41.39,81.93,4.01,63.86,8.23,84.65,68.5,6.8,0,0,1,safe
23,morning,press_B,mid,assembly,on_time,partial,44.7,104.79,4.44,59.48,8.31,64.05,96.6,3.6,1,3,2,safe
24,afternoon,cutter_D,mid,maintenance,on_time,ok,36.75,73.68,1.38,27.24,6.6,96.95,241.4,0.3,1,5,2,unsafe
25,afternoon,press_B,junior,assembly,on_time,ok,39.88,77.15,2.95,65.93,7.33,83.62,155.0,3.6,1,2,2,safe
26,night,furnace_C,senior,heat_area,on_time,ok,,100.06,1.14,65.12,6.99,87.75,85.9,,0,4,3,safe
27,morning,press_B,junior,assembly,delayed,partial,55.68,49.26,6.42,63.62,6.79,72.17,90.8,7.8,1,3,2,unsafe
28,afternoon,press_A,senior,maintenance,on_time,ok,47.59,67.47,17.02583284448864,57.22,4.05,84.6,220.3,5.2,1,6,2,unsafe
29,afternoon,cutter_D,junior,loading,on_time,ok,34.72,67.91,7.93,55.08,7.14,93.14,58.4,6.0,1,8,4,safe
30,morning,press_B,senior,loading,on_time,ok,66.78,66.83,6.41,66.45,5.83,78.11,239.0,7.3,0,4,2,unsafe
31,afternoon,cutter_D,mid,loading,delayed,ok,45.04,24.16,4.38,78.93,5.25,101.02,78.7,4.6,2,7,2,unsafe
32,morning,press_A,senior,assembly,delayed,ok,31.57,126.88,2.25,38.66,6.5,79.4,234.2,6.4,4,6,2,safe
33,morning,press_A,senior,heat_area,on_time,partial,64.28,55.97,1.63,,6.38,89.27,191.6,6.2,0,5,2,unsafe
34,night,press_A,junior,heat_area,on_time,ok,58.78,120.72,2.71,50.79,4.66,83.64,73.5,4.0,4,5,2,unsafe
35,night,furnace_C,senior,assembly,on_time,ok,60.73,127.41,3.54,50.18,6.22,86.27,177.3,9.3,2,3,2,unsafe
36,night,press_B,junior,heat_area,on_time,ok,48.89,44.99,5.15,,8.56,65.96,50.8,3.7,3,4,3,unsafe
37,morning,cutter_D,junior,maintenance,on_time,ok,49.41,,3.27,48.01,5.03,86.34,210.0,7.2,2,4,3,unsafe
38,morning,press_B,junior,assembly,on_time,partial,40.86,,6.25,38.04,8.95,72.39,72.5,2.1,1,8,3,safe
39,afternoon,cutter_D,mid,heat_area,on_time,ok,60.67,151.28,4.99,45.51,4.47,75.38,210.3,6.1,0,1,2,safe
40,afternoon,press_A,junior,assembly,on_time,partial,21.14,78.9,5.52,36.63,9.25,94.7,60.6,9.2,1,8,2,safe
41,morning,cutter_D,mid,assembly,critical,ok,38.79,99.01,10.31,45.72,5.97,81.08,75.2,4.4,1,1,2,unsafe
42,afternoon,cutter_D,mid,maintenance,critical,ok,64.67,67.92,5.2,46.31,6.69,73.97,268.1,4.3,2,2,1,unsafe
43,morning,cutter_D,mid,heat_area,on_time,ok,44.8,105.13,6.42,53.35,4.04,79.77,163.2,6.1,1,7,2,safe
44,night,cutter_D,senior,heat_area,on_time,ok,46.75,64.9,5.47,29.39,6.42,73.3,79.2,5.5,0,3,2,unsafe
45,morning,cutter_D,mid,loading,on_time,ok,38.62,26.87,4.77,31.76,6.8,95.9,146.8,8.6,2,3,1,unsafe
46,afternoon,furnace_C,junior,assembly,on_time,partial,41.42,43.75,7.45,57.07,5.89,72.74,145.2,5.7,3,5,1,unsafe
47,morning,press_A,junior,heat_area,critical,ok,27.5,80.74,9.73,40.84,5.77,83.76,113.6,4.6,1,9,2,unsafe
48,afternoon,press_A,junior,heat_area,on_time,ok,51.23,40.41,3.42,67.04,5.27,91.2,144.5,4.2,1,6,2,unsafe
49,afternoon,cutter_D,junior,loading,delayed,partial,,95.65,6.1,55.15,7.97,78.5,221.5,3.3,1,4,2,unsafe
50,morning,furnace_C,junior,maintenance,on_time,missing,55.37,52.39,6.12,60.49,6.04,83.79,189.0,4.0,0,3,1,unsafe
51,night,cutter_D,junior,loading,critical,ok,42.26,70.62,7.2,71.75,8.5,75.73,166.8,6.0,0,8,2,unsafe
52,night,press_B,senior,heat_area,on_time,missing,54.52,119.86,6.79,47.66,6.62,103.01,78.0,5.2,4,4,2,unsafe
53,night,press_A,mid,maintenance,delayed,ok,56.27,88.66,7.12,43.96,5.93,89.43,60.2,4.8,1,1,1,safe
54,night,press_A,junior,assembly,on_time,ok,41.71,79.66,9.53,64.2,7.56,79.27,123.6,11.1,0,4,2,unsafe
55,afternoon,furnace_C,mid,assembly,on_time,partial,49.11,120.76,2.13,59.13,3.89,72.04,191.0,2.6,1,2,1,safe
56,night,press_B,junior,assembly,on_time,ok,40.63,106.82,5.23,49.38,5.72,79.97,38.4,7.0,2,11,3,unsafe
57,morning,press_A,mid,heat_area,on_time,ok,60.95,130.63,3.5,71.48,7.93,75.94,99.8,6.0,2,3,2,safe
58,morning,press_B,mid,heat_area,critical,ok,70.94,73.9,9.13,49.03,5.78,96.58,161.3,6.1,3,6,2,unsafe
59,morning,press_A,mid,loading,critical,partial,36.46,72.96,4.24,52.46,4.14,67.97,236.7,4.7,1,7,1,safe
60,morning,furnace_C,mid,maintenance,delayed,partial,57.19,44.46,7.26,52.3,8.43,80.21,27.6,4.3,2,7,2,unsafe
61,afternoon,press_A,senior,heat_area,on_time,ok,58.06,64.99,4.11,,4.69,78.83,123.2,5.7,0,5,2,unsafe
62,morning,cutter_D,senior,heat_area,delayed,ok,42.09,123.77,4.88,53.09,6.74,81.94,96.1,5.4,3,5,4,safe
63,night,press_B,mid,assembly,on_time,ok,44.25,135.5,2.32,71.55,7.39,80.02,129.1,,0,3,3,safe
64,afternoon,press_B,mid,assembly,on_time,ok,26.41,123.61,4.48,58.23,3.65,77.96,167.0,1.5,0,2,1,safe
65,morning,press_A,mid,loading,on_time,ok,100.7991439660173,25.2,7.89,52.43,6.15,86.86,47.8,3.8,1,2,3,safe
66,afternoon,press_A,junior,heat_area,on_time,partial,58.4,117.91,5.44,49.74,7.08,84.48,76.0,2.9,2,4,2,unsafe
67,morning,press_B,junior,maintenance,on_time,ok,39.39,25.65,6.88,56.63,7.76,82.77,81.1,3.9,1,5,1,unsafe
68,night,press_B,junior,assembly,on_time,ok,46.43,121.43,9.16,62.5,8.47,53.69,106.3,6.8,2,5,3,safe
69,morning,furnace_C,mid,assembly,on_time,ok,55.79,77.13,6.08,60.53,5.5,81.7,215.0,5.6,0,6,1,unsafe
70,night,press_A,mid,heat_area,delayed,ok,,104.59,5.27,47.35,7.43,66.1,72.4,9.9,2,7,2,unsafe
71,night,furnace_C,junior,assembly,on_time,missing,55.46,43.36,6.53,56.55,5.1,86.82,89.1,5.6,2,7,3,unsafe
